workload_id,stage_workload,candidate_class,angle_deg,frame_class,rtl_top,tile_w,tile_h,set_num,way_num,merge_max_x,fifo_depth,lead_pixels,runtime_lead_pixels,runtime_merge_max_x_eff,runtime_merge_min_x,runtime_fifo_depth_eff,runtime_fifo_age_limit,runtime_prefetch_throttle_cycles,runtime_scheduler_policy,score
proxy1024_r0_default,proxy1024_r0,default,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,0
proxy1024_r0_model_top1,proxy1024_r0,model_top1,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,16,16,32,2,4,16,16,16,4,1,16,0,0,0,1
proxy1024_r0_model_top2,proxy1024_r0,model_top2,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,2
proxy1024_r0_policy1_merge_min_age,proxy1024_r0,policy1_merge_min_age,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,3
proxy1024_r0_sanity_bad,proxy1024_r0,sanity_bad,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,4
proxy1024_r15_default,proxy1024_r15,default,15,proxy1024,tb_image_geo_top_perf_single_proxy_rotate15_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,5
proxy1024_r15_model_top1,proxy1024_r15,model_top1,15,proxy1024,tb_image_geo_top_perf_single_proxy_rotate15_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,6
proxy1024_r15_model_top2,proxy1024_r15,model_top2,15,proxy1024,tb_image_geo_top_perf_single_proxy_rotate15_on,16,16,32,2,4,16,64,64,4,1,16,0,0,0,7
proxy1024_r15_policy1_merge_min_age,proxy1024_r15,policy1_merge_min_age,15,proxy1024,tb_image_geo_top_perf_single_proxy_rotate15_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,8
proxy1024_r15_sanity_bad,proxy1024_r15,sanity_bad,15,proxy1024,tb_image_geo_top_perf_single_proxy_rotate15_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,9
proxy1024_r45_default,proxy1024_r45,default,45,proxy1024,tb_image_geo_top_perf_single_proxy_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,10
proxy1024_r45_model_top1,proxy1024_r45,model_top1,45,proxy1024,tb_image_geo_top_perf_single_proxy_rotate45_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,11
proxy1024_r45_model_top2,proxy1024_r45,model_top2,45,proxy1024,tb_image_geo_top_perf_single_proxy_rotate45_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,12
proxy1024_r45_policy1_merge_min_age,proxy1024_r45,policy1_merge_min_age,45,proxy1024,tb_image_geo_top_perf_single_proxy_rotate45_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,13
proxy1024_r45_sanity_bad,proxy1024_r45,sanity_bad,45,proxy1024,tb_image_geo_top_perf_single_proxy_rotate45_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,14
proxy1024_r75_default,proxy1024_r75,default,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,15
proxy1024_r75_model_top1,proxy1024_r75,model_top1,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,16
proxy1024_r75_model_top2,proxy1024_r75,model_top2,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,16,16,32,2,4,16,64,64,4,1,16,0,0,0,17
proxy1024_r75_policy1_merge_min_age,proxy1024_r75,policy1_merge_min_age,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,18
proxy1024_r75_sanity_bad,proxy1024_r75,sanity_bad,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,19
proxy1024_r90_default,proxy1024_r90,default,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,20
proxy1024_r90_model_top1,proxy1024_r90,model_top1,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,16,16,32,2,4,16,16,16,4,1,16,0,0,0,21
proxy1024_r90_model_top2,proxy1024_r90,model_top2,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,22
proxy1024_r90_policy1_merge_min_age,proxy1024_r90,policy1_merge_min_age,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,23
proxy1024_r90_sanity_bad,proxy1024_r90,sanity_bad,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,24
