workload_id,stage_workload,candidate_class,angle_deg,frame_class,rtl_top,tile_w,tile_h,set_num,way_num,merge_max_x,fifo_depth,lead_pixels,runtime_lead_pixels,runtime_merge_max_x_eff,runtime_merge_min_x,runtime_fifo_depth_eff,runtime_fifo_age_limit,runtime_prefetch_throttle_cycles,runtime_scheduler_policy,score
proxy1024_r0_timing_safe_default,proxy1024_r0,timing_safe_default,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,0
proxy1024_r0_lead32,proxy1024_r0,lead32,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,32,2,4,16,32,32,4,1,16,0,0,0,1
proxy1024_r0_lead64,proxy1024_r0,lead64,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,2
proxy1024_r0_lead128,proxy1024_r0,lead128,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,32,2,4,16,128,128,4,1,16,0,0,0,3
proxy1024_r0_wide_tile_risk,proxy1024_r0,wide_tile_risk,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,4
proxy1024_r75_timing_safe_default,proxy1024_r75,timing_safe_default,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,5
proxy1024_r75_lead32,proxy1024_r75,lead32,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,8,8,32,2,4,16,32,32,4,1,16,0,0,0,6
proxy1024_r75_lead64,proxy1024_r75,lead64,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,7
proxy1024_r75_lead128,proxy1024_r75,lead128,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,8,8,32,2,4,16,128,128,4,1,16,0,0,0,8
proxy1024_r75_wide_tile_risk,proxy1024_r75,wide_tile_risk,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,9
proxy1024_r90_timing_safe_default,proxy1024_r90,timing_safe_default,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,10
proxy1024_r90_lead32,proxy1024_r90,lead32,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,32,2,4,16,32,32,4,1,16,0,0,0,11
proxy1024_r90_lead64,proxy1024_r90,lead64,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,12
proxy1024_r90_lead128,proxy1024_r90,lead128,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,32,2,4,16,128,128,4,1,16,0,0,0,13
proxy1024_r90_wide_tile_risk,proxy1024_r90,wide_tile_risk,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,14
