workload_id,stage_workload,candidate_class,angle_deg,frame_class,rtl_top,tile_w,tile_h,set_num,way_num,merge_max_x,fifo_depth,lead_pixels,runtime_lead_pixels,runtime_merge_max_x_eff,runtime_merge_min_x,runtime_fifo_depth_eff,runtime_fifo_age_limit,runtime_prefetch_throttle_cycles,runtime_scheduler_policy,score
small_rotate45_off_default,small_rotate45_off,default,45,small,tb_image_geo_top_perf_single_small_rotate45_off,8,8,16,2,2,8,16,16,2,1,8,0,0,0,0
small_rotate45_off_model_top1,small_rotate45_off,model_top1,45,small,tb_image_geo_top_perf_single_small_rotate45_off,16,8,32,2,4,16,64,64,4,1,16,0,0,0,1
small_rotate45_off_model_top2,small_rotate45_off,model_top2,45,small,tb_image_geo_top_perf_single_small_rotate45_off,8,8,32,2,4,16,64,64,4,1,16,0,0,0,2
small_rotate45_off_policy1_merge_min_age,small_rotate45_off,policy1_merge_min_age,45,small,tb_image_geo_top_perf_single_small_rotate45_off,8,8,16,2,2,8,16,16,2,4,8,200,0,1,3
small_rotate45_off_policy2_throttle,small_rotate45_off,policy2_throttle,45,small,tb_image_geo_top_perf_single_small_rotate45_off,8,8,16,2,2,8,16,16,2,1,8,0,64,2,4
small_rotate45_off_sanity_bad,small_rotate45_off,sanity_bad,45,small,tb_image_geo_top_perf_single_small_rotate45_off,32,16,16,2,1,8,512,512,1,1,8,0,0,0,5
small_rotate45_on_default,small_rotate45_on,default,45,small,tb_image_geo_top_perf_single_small_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,6
small_rotate45_on_model_top1,small_rotate45_on,model_top1,45,small,tb_image_geo_top_perf_single_small_rotate45_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,7
small_rotate45_on_model_top2,small_rotate45_on,model_top2,45,small,tb_image_geo_top_perf_single_small_rotate45_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,8
small_rotate45_on_policy1_merge_min_age,small_rotate45_on,policy1_merge_min_age,45,small,tb_image_geo_top_perf_single_small_rotate45_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,9
small_rotate45_on_policy2_throttle,small_rotate45_on,policy2_throttle,45,small,tb_image_geo_top_perf_single_small_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,10
small_rotate45_on_sanity_bad,small_rotate45_on,sanity_bad,45,small,tb_image_geo_top_perf_single_small_rotate45_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,11
cal128_r0_default,cal128_r0,default,0,cal128,tb_image_geo_top_perf_single_cal128_rotate0_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,12
cal128_r0_model_top1,cal128_r0,model_top1,0,cal128,tb_image_geo_top_perf_single_cal128_rotate0_on,16,16,32,2,4,16,16,16,4,1,16,0,0,0,13
cal128_r0_model_top2,cal128_r0,model_top2,0,cal128,tb_image_geo_top_perf_single_cal128_rotate0_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,14
cal128_r0_policy1_merge_min_age,cal128_r0,policy1_merge_min_age,0,cal128,tb_image_geo_top_perf_single_cal128_rotate0_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,15
cal128_r0_policy2_throttle,cal128_r0,policy2_throttle,0,cal128,tb_image_geo_top_perf_single_cal128_rotate0_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,16
cal128_r0_sanity_bad,cal128_r0,sanity_bad,0,cal128,tb_image_geo_top_perf_single_cal128_rotate0_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,17
cal128_r15_default,cal128_r15,default,15,cal128,tb_image_geo_top_perf_single_cal128_rotate15_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,18
cal128_r15_model_top1,cal128_r15,model_top1,15,cal128,tb_image_geo_top_perf_single_cal128_rotate15_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,19
cal128_r15_model_top2,cal128_r15,model_top2,15,cal128,tb_image_geo_top_perf_single_cal128_rotate15_on,16,16,32,2,4,16,64,64,4,1,16,0,0,0,20
cal128_r15_policy1_merge_min_age,cal128_r15,policy1_merge_min_age,15,cal128,tb_image_geo_top_perf_single_cal128_rotate15_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,21
cal128_r15_policy2_throttle,cal128_r15,policy2_throttle,15,cal128,tb_image_geo_top_perf_single_cal128_rotate15_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,22
cal128_r15_sanity_bad,cal128_r15,sanity_bad,15,cal128,tb_image_geo_top_perf_single_cal128_rotate15_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,23
cal128_r45_default,cal128_r45,default,45,cal128,tb_image_geo_top_perf_single_cal128_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,24
cal128_r45_model_top1,cal128_r45,model_top1,45,cal128,tb_image_geo_top_perf_single_cal128_rotate45_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,25
cal128_r45_model_top2,cal128_r45,model_top2,45,cal128,tb_image_geo_top_perf_single_cal128_rotate45_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,26
cal128_r45_policy1_merge_min_age,cal128_r45,policy1_merge_min_age,45,cal128,tb_image_geo_top_perf_single_cal128_rotate45_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,27
cal128_r45_policy2_throttle,cal128_r45,policy2_throttle,45,cal128,tb_image_geo_top_perf_single_cal128_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,28
cal128_r45_sanity_bad,cal128_r45,sanity_bad,45,cal128,tb_image_geo_top_perf_single_cal128_rotate45_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,29
cal128_r75_default,cal128_r75,default,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,30
cal128_r75_model_top1,cal128_r75,model_top1,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,31
cal128_r75_model_top2,cal128_r75,model_top2,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,16,16,32,2,4,16,64,64,4,1,16,0,0,0,32
cal128_r75_policy1_merge_min_age,cal128_r75,policy1_merge_min_age,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,33
cal128_r75_policy2_throttle,cal128_r75,policy2_throttle,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,34
